a,b,c,d
1234.HK, 0.15559, 0.19028, 779419008
1240.HK, 0.090270005, 0.05978, 1236856064
1250.HK, 0.0801, 0.10592, 1149847040
1252.HK, 0.13598, 0.14965999, 3380729088
1253.HK, 0.08151, 0.11579, 65823000
1257.HK, 0.11184, 0.13951, 355672992
1258.HK, 0.27809998, 0.09034, 782438976
1263.HK, 0.20977, 0.026700001, 4579421184
1268.HK, 0.30547002, 0.04185, 1442472960
1273.HK, 0.113400005, 0.54655, 221064000
1277.HK, 0.32471, 0.27514, 1195970048
1283.HK, 0.22288999, 0.14404, 78237000
1297.HK, 0.23691, 0.96653, 246582000
1299.HK, 0.11768, 0.123959996, 2184999936
1302.HK, 0.11763, 0.33641997, 338532000
1317.HK, 0.101660006, 0.25345, 811960000
1319.HK, 0.101009995, 0.57612, 471660992
1330.HK, 0.14029, 0.25135002, 433224288
1336.HK, 0.16681999, 0.07418, 64525000704
1337.HK, 0.086899996, 0.03749, 159520992
1339.HK, 0.1238, 0.04144, 60591001600
1349.HK, 0.12725, 0.20325, 65799092
1362.HK, 0.10877, 0.00929, 30306000
1378.HK, 0.14626999, 0.12184, 17779077120
1382.HK, 0.22693, 0.14419, 640940032
1397.HK, 0.19529, 0.04539, 162292992
1402.HK, 0.08899, 0.087969996, 8878000
1412.HK, 0.17337, 0.09313, 143066000
1413.HK, 0.53257, 0.09488, 27242000
1415.HK, 0.14476, 0.056539997, 101150000
1417.HK, 0.12898, 0.03431, 82653000
1425.HK, 0.27555, 0.12317, 190970000
1427.HK, 0.27608, 0.09844, 232936992
1431.HK, 0.12544, 0.37191, 581139968
1432.HK, 0.15812999, 0.15284, 1090398976
1440.HK, 0.21790001, 0.22077999, 82599000
1442.HK, 0.16240999, 0.11919, 23179000
1446.HK, 0.20222999, 0.08901, 220087008
1448.HK, 0.15571, 0.32764, 822348992
1451.HK, 0.085200004, 0.05461, 51877000
1455.HK, 0.21535, 0.1329, 20357000
